file,line,reason,evidence
rtl/async_fifo_gray.sv,6,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,7,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,8,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,9,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,10,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,11,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,12,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,13,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,14,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,15,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,18,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,19,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,20,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,21,non-executable module port/declaration instrumentation,source classification
rtl/async_fifo_gray.sv,22,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,8,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,9,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,10,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,11,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,13,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,14,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,15,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,16,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,17,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,18,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,19,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,20,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,21,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,22,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,23,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,24,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,25,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,26,non-executable module port/declaration instrumentation,source classification
rtl/axi4_async_bridge.sv,27,non-executable module port/declaration instrumentation,source classification
