property_group,mode,depth,status,runtime_seconds,note
qos_grant_safety,bounded_verilator,33,PASS,NA,three executable arbiter invariants
qos_arbiter_safety,Yosys_SMT_prove,40,PASS,NA,leaf proof/cover with explicit reachability
qos_arbiter_reachability,Yosys_SMT_cover,80,PASS,NA,leaf proof/cover with explicit reachability
async_fifo_safety,Yosys_SMT_bmc,16,PASS,NA,solver-backed bounded safety
async_fifo_reachability,Yosys_SMT_cover,20,PASS,NA,leaf proof/cover with explicit reachability
async_fifo_fifo_count_mutation,Yosys_SMT_mutation,20,PASS,NA,expected mutation counterexample
id_tracker_safety,Yosys_SMT_bmc,40,PASS,NA,solver-backed bounded safety
id_tracker_reachability,Yosys_SMT_cover,80,PASS,NA,leaf proof/cover with explicit reachability
id_tracker_duplicate_id_mutation,Yosys_SMT_mutation,20,PASS,NA,expected mutation counterexample
local_error_safety,Yosys_SMT_bmc,40,PASS,NA,solver-backed bounded safety
local_error_reachability,Yosys_SMT_cover,80,PASS,NA,leaf proof/cover with explicit reachability
local_error_error_leak_mutation,Yosys_SMT_mutation,20,PASS,NA,expected mutation counterexample
route_owner_safety,Yosys_SMT_bmc,40,PASS,NA,solver-backed bounded safety
route_owner_reachability,Yosys_SMT_cover,80,PASS,NA,leaf proof/cover with explicit reachability
route_owner_early_unlock_mutation,Yosys_SMT_mutation,20,PASS,NA,expected mutation counterexample
full_fabric_solver,Yosys_SMT,NA,SKIP,NA,installed frontend does not support multidimensional SystemVerilog ports
