workload,backpressure_percent,master,operation,requests,mean_latency_cycles,p50_latency_cycles,p95_latency_cycles,max_latency_cycles,mean_arbitration_wait_cycles,accepted_requests_per_cycle,service_share_percent,age_override_events,status
target_matrix,0,0,read,1,2.00,2,2,2,0.00,0.0167,12.50,0,PASS
target_matrix,0,0,write,1,3.00,3,3,3,0.00,0.0167,12.50,0,PASS
target_matrix,0,1,read,1,2.00,2,2,2,0.00,0.0167,12.50,0,PASS
target_matrix,0,1,write,1,3.00,3,3,3,0.00,0.0167,12.50,0,PASS
target_matrix,0,2,read,1,2.00,2,2,2,0.00,0.0167,12.50,0,PASS
target_matrix,0,2,write,1,3.00,3,3,3,0.00,0.0167,12.50,0,PASS
target_matrix,0,3,read,1,9.00,9,9,9,0.00,0.0167,12.50,0,PASS
target_matrix,0,3,write,1,11.00,11,11,11,0.00,0.0167,12.50,0,PASS
target_matrix,25,0,read,1,2.00,2,2,2,0.00,0.0147,12.50,0,PASS
target_matrix,25,0,write,1,3.00,3,3,3,0.00,0.0147,12.50,0,PASS
target_matrix,25,1,read,1,2.00,2,2,2,0.00,0.0147,12.50,0,PASS
target_matrix,25,1,write,1,4.00,4,4,4,0.00,0.0147,12.50,0,PASS
target_matrix,25,2,read,1,2.00,2,2,2,0.00,0.0147,12.50,0,PASS
target_matrix,25,2,write,1,4.00,4,4,4,0.00,0.0147,12.50,0,PASS
target_matrix,25,3,read,1,10.00,10,10,10,0.00,0.0147,12.50,0,PASS
target_matrix,25,3,write,1,14.00,14,14,14,0.00,0.0147,12.50,0,PASS
target_matrix,50,0,read,1,2.00,2,2,2,0.00,0.0139,12.50,0,PASS
target_matrix,50,0,write,1,4.00,4,4,4,0.00,0.0139,12.50,0,PASS
target_matrix,50,1,read,1,2.00,2,2,2,0.00,0.0139,12.50,0,PASS
target_matrix,50,1,write,1,4.00,4,4,4,0.00,0.0139,12.50,0,PASS
target_matrix,50,2,read,1,2.00,2,2,2,0.00,0.0139,12.50,0,PASS
target_matrix,50,2,write,1,4.00,4,4,4,0.00,0.0139,12.50,0,PASS
target_matrix,50,3,read,1,10.00,10,10,10,0.00,0.0139,12.50,0,PASS
target_matrix,50,3,write,1,12.00,12,12,12,0.00,0.0139,12.50,0,PASS
target_matrix,75,0,read,1,2.00,2,2,2,0.00,0.0097,12.50,0,PASS
target_matrix,75,0,write,1,9.00,9,9,9,0.00,0.0097,12.50,0,PASS
target_matrix,75,1,read,1,2.00,2,2,2,0.00,0.0097,12.50,0,PASS
target_matrix,75,1,write,1,9.00,9,9,9,0.00,0.0097,12.50,0,PASS
target_matrix,75,2,read,1,2.00,2,2,2,0.00,0.0097,12.50,0,PASS
target_matrix,75,2,write,1,9.00,9,9,9,0.00,0.0097,12.50,0,PASS
target_matrix,75,3,read,1,15.00,15,15,15,0.00,0.0097,12.50,0,PASS
target_matrix,75,3,write,1,24.00,24,24,24,0.00,0.0097,12.50,0,PASS
contention_four,0,0,read,1,16.00,16,16,16,0.00,0.0333,25.00,0,PASS
contention_four,0,1,read,1,12.00,12,12,12,0.00,0.0333,25.00,0,PASS
contention_four,0,2,read,1,8.00,8,8,8,0.00,0.0333,25.00,0,PASS
contention_four,0,3,read,1,4.00,4,4,4,0.00,0.0333,25.00,0,PASS
contention_four,25,0,read,1,15.00,15,15,15,0.00,0.0333,25.00,0,PASS
contention_four,25,1,read,1,11.00,11,11,11,0.00,0.0333,25.00,0,PASS
contention_four,25,2,read,1,8.00,8,8,8,0.00,0.0333,25.00,0,PASS
contention_four,25,3,read,1,4.00,4,4,4,0.00,0.0333,25.00,0,PASS
contention_four,50,0,read,1,14.00,14,14,14,0.00,0.0323,25.00,0,PASS
contention_four,50,1,read,1,11.00,11,11,11,0.00,0.0323,25.00,0,PASS
contention_four,50,2,read,1,7.00,7,7,7,0.00,0.0323,25.00,0,PASS
contention_four,50,3,read,1,4.00,4,4,4,0.00,0.0323,25.00,0,PASS
contention_four,75,0,read,1,8.00,8,8,8,0.00,0.0323,25.00,0,PASS
contention_four,75,1,read,1,8.00,8,8,8,0.00,0.0323,25.00,0,PASS
contention_four,75,2,read,1,6.00,6,6,6,0.00,0.0323,25.00,0,PASS
contention_four,75,3,read,1,4.00,4,4,4,0.00,0.0323,25.00,0,PASS
equal_qos_rr,0,0,read,1,1.00,1,1,1,0.00,0.0556,25.00,0,PASS
equal_qos_rr,0,1,read,1,2.00,2,2,2,0.00,0.0556,25.00,0,PASS
equal_qos_rr,0,2,read,1,3.00,3,3,3,0.00,0.0556,25.00,0,PASS
equal_qos_rr,0,3,read,1,4.00,4,4,4,0.00,0.0556,25.00,0,PASS
equal_qos_rr,25,0,read,1,1.00,1,1,1,0.00,0.0556,25.00,0,PASS
equal_qos_rr,25,1,read,1,2.00,2,2,2,0.00,0.0556,25.00,0,PASS
equal_qos_rr,25,2,read,1,2.00,2,2,2,0.00,0.0556,25.00,0,PASS
equal_qos_rr,25,3,read,1,3.00,3,3,3,0.00,0.0556,25.00,0,PASS
equal_qos_rr,50,0,read,1,1.00,1,1,1,0.00,0.0526,25.00,0,PASS
equal_qos_rr,50,1,read,1,1.00,1,1,1,0.00,0.0526,25.00,0,PASS
equal_qos_rr,50,2,read,1,2.00,2,2,2,0.00,0.0526,25.00,0,PASS
equal_qos_rr,50,3,read,1,2.00,2,2,2,0.00,0.0526,25.00,0,PASS
equal_qos_rr,75,0,read,1,1.00,1,1,1,0.00,0.0417,25.00,0,PASS
equal_qos_rr,75,1,read,1,1.00,1,1,1,0.00,0.0417,25.00,0,PASS
equal_qos_rr,75,2,read,1,1.00,1,1,1,0.00,0.0417,25.00,0,PASS
equal_qos_rr,75,3,read,1,1.00,1,1,1,0.00,0.0417,25.00,0,PASS
qos_priority,0,0,read,2,3.00,2,4,4,0.00,0.0294,18.18,0,PASS
qos_priority,0,0,write,1,5.00,5,5,5,0.00,0.0147,9.09,0,PASS
qos_priority,0,1,read,2,1.00,1,1,1,0.00,0.0294,18.18,0,PASS
qos_priority,0,1,write,1,2.00,2,2,2,NA,0.0147,9.09,0,PASS
qos_priority,0,2,read,2,1.00,1,1,1,0.00,0.0294,18.18,0,PASS
qos_priority,0,2,write,1,2.00,2,2,2,NA,0.0147,9.09,0,PASS
qos_priority,0,3,read,1,10.00,10,10,10,0.00,0.0147,9.09,0,PASS
qos_priority,0,3,write,1,10.00,10,10,10,0.00,0.0147,9.09,0,PASS
qos_priority,25,0,read,2,3.00,2,4,4,0.00,0.0270,18.18,0,PASS
qos_priority,25,0,write,1,6.00,6,6,6,0.00,0.0135,9.09,0,PASS
qos_priority,25,1,read,2,1.00,1,1,1,0.00,0.0270,18.18,0,PASS
qos_priority,25,1,write,1,2.00,2,2,2,NA,0.0135,9.09,0,PASS
qos_priority,25,2,read,2,1.00,1,1,1,0.00,0.0270,18.18,0,PASS
qos_priority,25,2,write,1,2.00,2,2,2,NA,0.0135,9.09,0,PASS
qos_priority,25,3,read,1,10.00,10,10,10,0.00,0.0135,9.09,0,PASS
qos_priority,25,3,write,1,13.00,13,13,13,0.00,0.0135,9.09,0,PASS
qos_priority,50,0,read,2,2.50,1,4,4,0.00,0.0256,18.18,0,PASS
qos_priority,50,0,write,1,9.00,9,9,9,0.00,0.0128,9.09,0,PASS
qos_priority,50,1,read,2,1.00,1,1,1,0.00,0.0256,18.18,0,PASS
qos_priority,50,1,write,1,2.00,2,2,2,NA,0.0128,9.09,0,PASS
qos_priority,50,2,read,2,1.00,1,1,1,0.00,0.0256,18.18,0,PASS
