policy,masters,backpressure_percent,master,offered_requests,accepted_requests,accepted_per_cycle,mean_latency_cycles,p50_latency_cycles,p95_latency_cycles,max_latency_cycles,service_share_percent,max_service_gap_cycles,age_override_events,jain_fairness_index,status
equal_qos,2,0,0,48,24,0.12632,15.21,18,18,18,50.26,4,0,0.99997,PASS
equal_qos,2,0,1,48,24,0.12500,15.50,18,18,18,49.74,4,0,0.99997,PASS
equal_qos,2,25,0,48,24,0.12632,14.71,18,18,18,50.26,5,0,0.99997,PASS
equal_qos,2,25,1,48,24,0.12500,14.92,17,18,18,49.74,5,0,0.99997,PASS
equal_qos,2,50,0,48,24,0.12500,5.25,5,7,7,50.26,6,0,0.99997,PASS
equal_qos,2,50,1,48,24,0.12371,5.25,5,7,7,49.74,6,0,0.99997,PASS
equal_qos,2,75,0,48,24,0.06332,7.75,8,11,11,50.20,11,0,0.99998,PASS
equal_qos,2,75,1,48,24,0.06283,7.96,8,11,11,49.80,11,0,0.99998,PASS
equal_qos,4,0,0,48,24,0.06349,20.58,23,23,23,25.20,8,0,0.99997,PASS
equal_qos,4,0,1,48,24,0.06316,20.83,23,23,23,25.06,8,0,0.99997,PASS
equal_qos,4,0,2,48,24,0.06283,21.08,23,23,23,24.93,8,0,0.99997,PASS
equal_qos,4,0,3,48,24,0.06250,21.33,23,23,23,24.80,8,0,0.99997,PASS
equal_qos,4,25,0,48,24,0.06349,19.67,22,23,23,25.20,9,0,0.99997,PASS
equal_qos,4,25,1,48,24,0.06316,20.08,23,23,23,25.06,9,0,0.99997,PASS
equal_qos,4,25,2,48,24,0.06283,20.25,23,23,23,24.93,9,0,0.99997,PASS
equal_qos,4,25,3,48,24,0.06250,20.71,23,23,23,24.80,9,0,0.99997,PASS
equal_qos,4,50,0,48,24,0.06316,9.00,9,10,10,25.20,10,0,0.99997,PASS
equal_qos,4,50,1,48,24,0.06283,9.08,9,10,10,25.06,10,0,0.99997,PASS
equal_qos,4,50,2,48,24,0.06250,9.08,9,11,11,24.93,10,0,0.99997,PASS
equal_qos,4,50,3,48,24,0.06218,9.08,9,11,11,24.80,10,0,0.99997,PASS
equal_qos,4,75,0,48,24,0.03191,15.21,16,19,19,25.29,19,0,0.99994,PASS
equal_qos,4,75,1,48,24,0.03158,15.62,16,19,19,25.02,19,0,0.99994,PASS
equal_qos,4,75,2,48,24,0.03145,15.67,16,19,19,24.92,19,0,0.99994,PASS
equal_qos,4,75,3,48,24,0.03125,15.96,16,19,19,24.76,19,0,0.99994,PASS
mixed_qos,2,0,0,48,24,0.12500,16.38,18,18,18,48.11,4,0,0.99857,PASS
mixed_qos,2,0,1,48,24,0.13483,14.38,18,18,18,51.89,4,0,0.99857,PASS
mixed_qos,2,25,0,48,24,0.12500,16.33,17,20,21,46.96,6,0,0.99632,PASS
mixed_qos,2,25,1,48,24,0.14118,13.79,16,20,20,53.04,7,0,0.99632,PASS
mixed_qos,2,50,0,48,24,0.12371,7.29,3,37,65,34.01,35,1,0.90726,PASS
mixed_qos,2,50,1,48,24,0.24000,2.67,2,4,5,65.99,5,0,0.90726,PASS
mixed_qos,2,75,0,48,24,0.06283,11.92,3,73,124,33.80,73,1,0.90495,PASS
mixed_qos,2,75,1,48,24,0.12308,4.12,3,8,8,66.20,8,0,0.90495,PASS
mixed_qos,4,0,0,48,24,0.06250,25.58,18,79,79,17.66,64,3,0.92751,PASS
mixed_qos,4,0,1,48,24,0.06667,22.96,19,43,47,18.84,32,0,0.92751,PASS
mixed_qos,4,0,2,48,24,0.10345,18.50,19,23,23,29.24,8,0,0.92751,PASS
mixed_qos,4,0,3,48,24,0.12121,15.54,19,21,21,34.26,6,0,0.92751,PASS
mixed_qos,4,25,0,48,24,0.06250,25.42,17,79,79,17.32,65,3,0.91605,PASS
mixed_qos,4,25,1,48,24,0.06667,23.54,19,45,50,18.48,35,0,0.91605,PASS
mixed_qos,4,25,2,48,24,0.10256,18.25,17,23,23,28.43,8,0,0.91605,PASS
mixed_qos,4,25,3,48,24,0.12903,14.75,17,22,22,35.77,8,0,0.91605,PASS
mixed_qos,4,50,0,48,24,0.06218,15.71,4,66,67,12.69,65,4,0.77769,PASS
mixed_qos,4,50,1,48,24,0.08054,11.50,3,66,67,16.44,65,3,0.77769,PASS
