criterion,measured,target,status
named_regression,30,30,PASS
uvm_runtime_smoke,8,8,PASS
seeded_random_regression,100,100,PASS
functional_coverage,56,56,PASS
interaction_coverage,46,46,PASS
advanced_interaction_coverage,24,24,PASS
mutation_detection,6,6,PASS
bounded_property_groups,1,1,PASS
solver_formal_groups,14,14,PASS
model_replay,130,130,PASS
cdc_clock_ratios,4,4,PASS
performance_points,120,120,PASS
sustained_qos_points,72,72,PASS
illegal_target_checker_sensitivity,5,5,PASS
raw_design_branch_percent,95.0,90.0,PASS
synthesized_blocks,2,2,PASS
gate_level_smoke,1,1,PASS
reviewed_executable_line_percent,93.35,90.0,PASS
